B10k_ID,Species_Name_Standard,Realm_fixed,realm_all
NCBI-028,Phalacrocorax_auritus,Nearctic,Nearctic Panamanian
NCBI-029,Phalacrocorax_harrisi,Neotropical,NA
NCBI-030,Phalacrocorax_brasilianus,Neotropical,Nearctic Neotropical Panamanian
NCBI-031,Lonchura_striata,Oriental,Oriental Palearctic Sino-Japanese
NCBI-032,Anas_zonorhyncha,NA,Oriental Palearctic Sino-Japanese
NCBI-033,Phylloscopus_trochilus,Palearctic,Palearctic
NCBI-034,Saxicola_maurus,Palearctic,Oriental Palearctic Saharo-Arabian Sino-Japanese
NCBI-035,Uria_lomvia,Nearctic,Nearctic Palearctic
NCBI-036,Strix_occidentalis,Nearctic,Nearctic
NCBI-037,Anas_platyrhynchos,NA,Nearctic Oriental Palearctic Saharo-Arabian Sino-Japanese
OUT-0001,Agapornis_roseicollis,Afrotropical,Afrotropical
OUT-0002,Oreotrochilus_melanogaster,Neotropical,Neotropical
OUT-0003,Alca_torda,Palearctic,Nearctic Palearctic
OUT-0004,Steatornis_caripensis,Neotropical,Neotropical Panamanian
OUT-0007,Caloenas_nicobarica,Oriental,Oceanina Oriental
OUT-0008,Melospiza_melodia,Nearctic,Nearctic Palearctic
OUT-0010,Rhegmatorhina_hoffmannsi,Neotropical,Neotropical
OUT-0011,Loxia_curvirostra,Nearctic,Nearctic Oriental Palearctic Panamanian Saharo-Arabian Sino-Japanese
OUT-0012,Junco_hyemalis,Nearctic,Nearctic Palearctic
OUT-0013,Sylvia_atricapilla,Palearctic,Afrotropical Palearctic Saharo-Arabian
OUT-0015,Erithacus_rubecula,Palearctic,Palearctic Saharo-Arabian
OUT-0016,Limosa_lapponica,Australian,Nearctic Palearctic
OUT-0017,Passerina_amoena,Nearctic,Nearctic
OUT-0018,Pheucticus_melanocephalus,Nearctic,Nearctic Panamanian
OUT-0019,Uria_aalge,Palearctic,Nearctic Palearctic
OUT-0020,Cepphus_grylle,Nearctic,Nearctic Palearctic
OUT-0021,Rissa_tridactyla,Nearctic,Nearctic Palearctic
OUT-0022,Aphelocoma_coerulescens,Nearctic,Nearctic
OUT-0023,Poecile_atricapillus,Nearctic,Nearctic Palearctic
OUT-0024,Cercotrichas_coryphaeus,Afrotropical,NA
OUT-0025,Calonectris_borealis,Palearctic,NA
OUT-0026,Apteryx_haastii,Australian,Australian
OUT-0027,Apteryx_owenii,Australian,Australian
OUT-0028,Apteryx_rowi,Australian,Australian
OUT-0029,Crypturellus_cinnamomeus,Panamanian,Nearctic Panamanian
OUT-0030,Nothoprocta_perdicaria,Neotropical,Neotropical
OUT-0031,Rhea_americana,Neotropical,Neotropical
OUT-0032,Rhea_pennata,Neotropical,Neotropical
OUT-0034,Chlorodrepanis_virens,Nearctic,NA
OUT-0035,Hemignathus_wilsoni,Nearctic,NA
OUT-0036,Cairina_moschata,NA,Nearctic Neotropical Panamanian
OUT-0037,Brachypodius_atriceps,Oriental,NA
