ID,DC1_coef,DC1_p_value,DC1_sample_size,DC1_response,DC1_Ne_direction,IN1_coef,IN1_p_value,IN1_sample_size,IN1_response,IN1_Ne_direction
NCBI-028,0.452828525,0.008140542,33,No,not_significant,0.954505696,8.84E-17,31,Pos,increase
NCBI-030,-0.162907466,0.407513092,28,No,not_significant,0.973857161,2.65E-16,25,Pos,increase
NCBI-031,0.695890636,1.38E-05,31,Pos,decrease,0.957073324,3.87E-17,31,Pos,increase
NCBI-032,0.882086559,5.72E-08,22,Pos,decrease,-0.970393185,8.27E-14,22,Neg,decrease
NCBI-033,0.326076813,0.128899874,23,No,not_significant,0.983519092,1.38E-18,25,Pos,increase
NCBI-035,-0.695766094,0.008265439,13,No,not_significant,0.986773875,1.83E-12,16,Pos,increase
NCBI-037,0.872301437,3.06E-09,27,Pos,decrease,-0.951786338,8.13E-14,26,Neg,decrease
OUT-0003,-0.10742195,0.609284686,25,No,not_significant,0.896837858,2.99E-09,24,Pos,increase
OUT-0008,0.71357017,6.60E-06,31,Pos,decrease,0.92548077,2.52E-13,30,Pos,increase
OUT-0011,-0.767655356,4.66E-07,31,Neg,increase,-0.911480642,1.04E-12,31,Neg,decrease
OUT-0013,-0.845093934,5.58E-08,26,Neg,increase,0.970574669,2.39E-16,26,Pos,increase
OUT-0016,-0.621506402,0.00091254,25,Neg,increase,-0.952890943,7.02E-13,24,Neg,decrease
